id,boss_id,variant,disadvantage_weight,equal_weight,win_weight,complete_weight,wb_disadvantage_weight,wb_equal_weight,wb_win_weight,wb_complete_weight,note,created_at,updated_at
36,1,,1867,2100,2593,2917,2800,3150,3889,4375,,"2026-05-05 07:11:01","2026-05-05 07:11:01"
37,1,,1867,2100,2593,2917,2800,3150,3889,4375,,"2026-05-05 07:11:01","2026-05-05 07:11:01"
38,11,1,647,728,898,1010,970,1091,1347,1515,レグナード1-4共通,"2026-05-05 07:11:10","2026-05-05 07:11:10"
39,11,2,647,728,898,1010,970,1091,1347,1515,レグナード1-4共通,"2026-05-05 07:11:10","2026-05-05 07:11:10"
40,11,3,647,728,898,1010,970,1091,1347,1515,レグナード1-4共通,"2026-05-05 07:11:10","2026-05-05 07:11:10"
41,11,4,647,728,898,1010,970,1091,1347,1515,レグナード1-4共通,"2026-05-05 07:11:10","2026-05-05 07:11:10"
42,11,5,982,1104,1363,1534,1472,1656,2045,2300,,"2026-05-05 07:11:10","2026-05-05 07:11:10"
49,4,,1595,1794,2215,2492,2392,2691,3323,3738,,"2026-05-05 07:20:20","2026-05-05 07:20:20"
50,4,,1595,1794,2215,2492,2392,2691,3323,3738,,"2026-05-05 07:20:20","2026-05-05 07:20:20"
51,5,,658,740,913,1027,986,1109,1369,1540,,"2026-05-05 07:20:26","2026-05-05 07:20:26"
52,5,,658,740,913,1027,986,1109,1369,1540,,"2026-05-05 07:20:26","2026-05-05 07:20:26"
53,12,1,1014,1140,1408,1584,1520,1710,2112,2375,剛獣鬼ガルドドン1-4共通,"2026-05-05 07:20:43","2026-05-05 07:20:43"
54,12,2,1014,1140,1408,1584,1520,1710,2112,2375,剛獣鬼ガルドドン1-4共通,"2026-05-05 07:20:43","2026-05-05 07:20:43"
55,12,3,1014,1140,1408,1584,1520,1710,2112,2375,剛獣鬼ガルドドン1-4共通,"2026-05-05 07:20:43","2026-05-05 07:20:43"
56,12,4,1014,1140,1408,1584,1520,1710,2112,2375,剛獣鬼ガルドドン1-4共通,"2026-05-05 07:20:43","2026-05-05 07:20:43"
57,13,3,808,909,1123,1263,1212,1364,1684,1894,,"2026-05-05 07:20:48","2026-05-05 07:20:48"
58,13,4,526,591,730,821,788,887,1095,1232,,"2026-05-05 07:20:48","2026-05-05 07:20:48"
59,14,3,457,514,635,714,685,771,952,1070,,"2026-05-05 07:20:53","2026-05-05 07:20:53"
60,14,4,344,387,478,537,516,580,716,805,,"2026-05-05 07:20:53","2026-05-05 07:20:53"
